state_code,state_name,inventory_first,inventory_last,inventory_events,posture,posture_confidence,posture_citation,shopify_sales_12m,amazon_sales_12m,economic_nexus_status,economic_progress_pct,marketplace_counts_toward_threshold,is_registered,has_entity_tax_flag,entity_flag_types,triage_bucket,notes,sources
GA,Georgia,2024-01-01,2026-08-15,3577,asserts,medium,Ga. Code § 48-8-2(8)(M.1); Georgia DOR marketplace guidance. Inventory creates dealer status.,2742.65,48937.59,under,3.5,no,no,no,,A_discuss,"Georgia asserts that stored inventory creates nexus. Marketplace facilitator provisions apply to collection, not nexus elimination.","inventory_events, sales_by_state, fba_nexus_posture.json"
HI,Hawaii,,,0,unknown,low,Haw. Rev. Stat. § 237-13; Hawaii GET. No specific FBA inventory guidance found.,438.51,4007.42,exceeded,6.7,yes,yes,no,,B_monitor,"Hawaii uses General Excise Tax (GET), not traditional sales tax. FBA inventory nexus position unclear. No Amazon FCs currently in HI. | Already registered.","sales_by_state, fba_nexus_posture.json"
IA,Iowa,2024-01-01,2026-08-15,1587,carve_out,medium,Iowa Code § 423.14A; Iowa DOR marketplace facilitator rules. Avalara summary: FBA sellers shielded.,1047.77,17320.37,under,25.2,yes,no,no,,B_monitor,Iowa marketplace facilitator provisions may shield FBA-only sellers from separate registration. Verify with IDR.,"inventory_events, sales_by_state, fba_nexus_posture.json"
ID,Idaho,2024-01-01,2026-08-14,1536,asserts,medium,Idaho Code § 63-3611; Idaho State Tax Commission guidance on physical presence.,683.36,21443.14,under,30.7,yes,no,no,,A_discuss,Idaho treats inventory storage as physical presence creating nexus.,"inventory_events, sales_by_state, fba_nexus_posture.json"
IL,Illinois,2024-01-01,2026-08-16,5565,carve_out,high,35 ILCS 105/2(1.1); Illinois Leveling the Playing Field Act. Avalara: IL marketplace facilitator law shields FBA sellers from separate registration when MP collects.,3714.83,55249.65,under,3.7,no,no,no,,B_monitor,Illinois marketplace facilitator provisions effectively carve out FBA-only sellers. Inventory presence alone does not require separate seller registration when Amazon collects.,"inventory_events, sales_by_state, fba_nexus_posture.json"
IN,Indiana,2024-01-01,2026-08-16,2660,asserts,medium,Ind. Code § 6-2.5-2-1(c); Indiana DOR marketplace facilitator guidance.,1890.69,33484.2,under,2.9,no,no,no,,A_discuss,Indiana treats inventory as physical presence. Marketplace facilitator collection does not relieve seller from registration obligation arising from physical nexus.,"inventory_events, sales_by_state, fba_nexus_posture.json"
KS,Kansas,2024-01-01,2025-11-24,16,asserts,medium,Kan. Stat. § 79-3702(h); Kansas DOR guidance on retailer doing business.,625.66,13695.93,under,19.9,yes,no,no,,A_discuss,"Kansas treats inventory storage as doing business in the state, creating nexus.","inventory_events, sales_by_state, fba_nexus_posture.json"
KY,Kentucky,2025-08-04,2026-08-15,508,asserts,medium,Ky. Rev. Stat. § 139.340; Kentucky DOR marketplace facilitator guidance.,839.42,16177.63,under,24.5,yes,no,no,,A_discuss,Kentucky treats stored inventory as physical presence. Recent FC openings increase exposure.,"inventory_events, sales_by_state, fba_nexus_posture.json"
LA,Louisiana,2024-09-01,2026-08-15,1342,asserts,medium,La. Rev. Stat. § 47:301(4)(m); Louisiana Sales Tax Commission guidance.,838.92,12463.79,under,19.6,yes,no,no,,A_discuss,Louisiana treats inventory storage as dealer nexus. Complex local tax structure (parishes).,"inventory_events, sales_by_state, fba_nexus_posture.json"
MA,Massachusetts,2024-03-01,2026-08-16,2271,asserts,medium,"Mass. Gen. Laws ch. 64H, § 1; Massachusetts DOR Directive 17-1. Inventory creates physical presence.",3414.98,36310.53,under,4.8,no,no,no,,A_discuss,Massachusetts treats inventory stored in state as physical presence creating vendor nexus.,"inventory_events, sales_by_state, fba_nexus_posture.json"
MD,Maryland,2024-01-01,2026-08-16,2736,asserts,high,"Md. Code, Tax-Gen. § 11-701; Maryland Comptroller guidance. Home state — nexus from LLC formation regardless of inventory.",4044.35,28450.68,exceeded,45.3,yes,yes,no,,B_monitor,Maryland is home state. Nexus established by LLC formation. Inventory presence is secondary but also creates nexus. | Already registered.,"inventory_events, sales_by_state, fba_nexus_posture.json"
ME,Maine,,,0,unknown,low,"Me. Rev. Stat. tit. 36, § 1754-B; Maine Revenue Services. No specific FBA inventory guidance found.",336.12,5130.76,under,0.4,no,no,no,,B_monitor,Maine has no known Amazon FCs. FBA inventory nexus position not clearly established. Monitor if Amazon opens facilities.,"sales_by_state, fba_nexus_posture.json"
MI,Michigan,2024-01-01,2026-08-15,4421,asserts,medium,Mich. Comp. Laws § 205.52(1); Michigan Treasury marketplace facilitator guidance.,2674.6,57412.47,exceeded,85.8,yes,yes,no,,B_monitor,Michigan treats inventory as nexus-creating activity. Marketplace facilitator collection does not eliminate seller physical presence. | Already registered.,"inventory_events, sales_by_state, fba_nexus_posture.json"
MN,Minnesota,2024-01-01,2026-08-15,1498,asserts,medium,Minn. Stat. § 297A.66; Minnesota DOR Revenue Notice 19-02.,1503.97,32835.05,exceeded,34.3,yes,no,no,,A_discuss,Minnesota treats inventory as physical presence. Also has economic nexus from transaction count.,"inventory_events, sales_by_state, fba_nexus_posture.json"
MO,Missouri,2024-01-01,2026-08-15,3218,asserts,medium,Mo. Rev. Stat. § 144.605; Missouri DOR guidance effective Jan 2023.,1676.84,31404.92,under,33.1,yes,no,no,,A_discuss,Missouri began requiring sales tax collection in 2023. Inventory storage creates physical presence.,"inventory_events, sales_by_state, fba_nexus_posture.json"
MS,Mississippi,2024-02-01,2026-08-15,718,asserts,medium,Miss. Code § 27-67-3; Mississippi DOR guidance on doing business.,175.17,8079.6,under,0.1,no,no,no,,A_discuss,Mississippi treats inventory storage as doing business in the state.,"inventory_events, sales_by_state, fba_nexus_posture.json"
MT,Montana,,,0,unknown,high,Montana has no general sales tax.,585.05,6741.52,under,0.0,no,no,no,,B_monitor,Montana has no general sales tax. FBA nexus irrelevant for sales tax.,"sales_by_state, fba_nexus_posture.json"
NC,North Carolina,2024-01-01,2026-08-16,3764,asserts,medium,N.C. Gen. Stat. § 105-164.8(b); North Carolina DOR marketplace facilitator guidance.,2458.78,54180.36,approaching,80.8,yes,no,no,,A_discuss,North Carolina treats inventory as physical presence. Approaching economic threshold.,"inventory_events, sales_by_state, fba_nexus_posture.json"
ND,North Dakota,2025-08-09,2026-04-27,14,carve_out,medium,N.D. Cent. Code § 57-39.2-02.2; North Dakota Tax Commissioner guidance. Avalara: FBA sellers may be shielded.,144.43,3899.39,under,0.3,no,no,no,,B_monitor,North Dakota marketplace facilitator provisions may shield FBA-only sellers from separate registration.,"inventory_events, sales_by_state, fba_nexus_posture.json"
NE,Nebraska,2024-01-01,2026-08-15,873,asserts,medium,Neb. Rev. Stat. § 77-2701.13; Nebraska DOR guidance on retailer engaged in business.,818.4,10685.24,exceeded,18.1,yes,no,no,,A_discuss,Nebraska treats inventory as physical presence creating retailer nexus.,"inventory_events, sales_by_state, fba_nexus_posture.json"
NH,New Hampshire,,,0,unknown,high,New Hampshire has no general sales tax.,828.32,13008.57,under,0.0,no,no,no,,B_monitor,New Hampshire has no general sales tax. FBA nexus irrelevant for sales tax.,"sales_by_state, fba_nexus_posture.json"
NJ,New Jersey,2024-01-01,2026-08-16,6367,asserts,high,N.J. Stat. § 54:32B-2(i); New Jersey Division of Taxation TB-90. Inventory = physical presence.,5899.79,54176.32,exceeded,85.3,yes,yes,no,,B_monitor,New Jersey clearly treats inventory storage as physical presence. High volume of Amazon FCs in NJ. | Already registered.,"inventory_events, sales_by_state, fba_nexus_posture.json"
NM,New Mexico,2024-02-01,2026-08-15,628,asserts,medium,N.M. Stat. § 7-9-10; New Mexico TRD guidance on engaging in business.,931.81,9329.99,under,1.1,no,no,no,,A_discuss,New Mexico uses Gross Receipts Tax (not traditional sales tax). Inventory creates engaging-in-business nexus.,"inventory_events, sales_by_state, fba_nexus_posture.json"
NV,Nevada,2024-01-01,2026-08-16,2609,carve_out,medium,Nev. Rev. Stat. § 372A.200; Nevada Tax Commission marketplace facilitator guidance. Avalara: FBA sellers may be shielded.,845.37,23197.74,exceeded,35.8,yes,no,yes,franchise_tax,D_entity_tax,Nevada marketplace facilitator provisions may shield FBA-only sellers. Also has Commerce Tax for gross revenue >$4M (unlikely for most small sellers). | Entity tax: Nevada Commerce Tax applies to businesses with Nevada gross revenue over $4M. Un,"inventory_events, sales_by_state, franchise_tax_flags, fba_nexus_posture.json"
NY,New York,2024-01-01,2026-08-16,4314,carve_out,medium,N.Y. Tax Law § 1101(b)(8); New York DTF TSB-M-19(2)S. Marketplace facilitator provisions. Avalara: FBA-only sellers may be relieved.,10655.66,88248.87,under,19.8,yes,no,no,,B_monitor,New York marketplace facilitator law may relieve FBA-only sellers from separate registration when marketplace collects. Economic nexus uses AND test ($500k AND 100 txn).,"inventory_events, sales_by_state, fba_nexus_posture.json"
OH,Ohio,2024-01-01,2026-08-16,7962,asserts,high,Ohio Rev. Code § 5741.01(H)(2); Ohio Department of Taxation Information Release ST 2019-02.,3563.82,60993.77,exceeded,91.2,yes,no,yes,franchise_tax,A_discuss,Ohio clearly asserts inventory creates nexus. Also has Commercial Activity Tax (CAT) for Ohio gross receipts >$150k. | Entity tax: Ohio Commercial Activity Tax (CAT) applies to businesses with Ohio gross receipt,"inventory_events, sales_by_state, franchise_tax_flags, fba_nexus_posture.json"
OK,Oklahoma,2024-01-01,2026-08-16,1883,carve_out,medium,"Okla. Stat. tit. 68, § 1392.1; Oklahoma Tax Commission marketplace facilitator guidance. Avalara: FBA sellers may be shielded.",575.91,20065.61,under,0.6,no,yes,no,,B_monitor,Oklahoma marketplace facilitator provisions may shield FBA-only sellers. Note: confirmed 3PL warehouse creates independent physical nexus regardless of FBA posture. | Already registered.,"inventory_events, sales_by_state, fba_nexus_posture.json"
OR,Oregon,2024-02-01,2026-08-15,2124,unknown,high,Oregon has no general sales tax. Or. Rev. Stat. § 320.,1181.82,23058.97,under,0.0,no,no,no,,B_monitor,Oregon has no general sales tax. FBA inventory nexus is irrelevant for sales tax purposes. Some specific excise taxes exist.,"inventory_events, sales_by_state, fba_nexus_posture.json"
PA,Pennsylvania,2024-02-01,2026-08-15,1754,contested,low,"Online Merchants Guild v. Hassell (M.D. Pa., filed 2023). 72 P.S. § 7201; Pennsylvania DOR REV-717.",5462.39,62393.43,approaching,95.4,yes,no,no,,A_discuss,CONTESTED. Active litigation (Online Merchants Guild v. Hassell) challenges whether FBA inventory storage creates nexus for out-of-state sellers when Amazon is the marketplace facilitator. Pennsylvania asserts nexus; industry groups contest. CPA must independently evaluate.,"inventory_events, sales_by_state, fba_nexus_posture.json"
RI,Rhode Island,2024-11-01,2026-08-15,850,asserts,medium,R.I. Gen. Laws § 44-18-15; Rhode Island Division of Taxation guidance.,447.72,5382.37,exceeded,8.1,yes,yes,no,,B_monitor,Rhode Island treats inventory storage as physical presence. | Already registered.,"inventory_events, sales_by_state, fba_nexus_posture.json"
SC,South Carolina,2024-01-01,2026-08-15,554,asserts,medium,S.C. Code § 12-36-70; South Carolina DOR Revenue Ruling 19-3.,1697.46,28302.39,under,42.7,yes,no,no,,A_discuss,South Carolina treats inventory as physical presence creating nexus.,"inventory_events, sales_by_state, fba_nexus_posture.json"
SD,South Dakota,2024-03-01,2026-08-16,634,asserts,medium,S.D. Codified Laws § 10-45-1; South Dakota DOR guidance. Post-Wayfair nexus includes physical presence from inventory.,209.04,4006.29,under,6.2,yes,no,no,,A_discuss,South Dakota treats inventory storage as physical presence.,"inventory_events, sales_by_state, fba_nexus_posture.json"
TN,Tennessee,2024-02-01,2026-08-16,4101,asserts,medium,Tenn. Code § 67-6-102; Tennessee DOR Important Notice 19-18.,1747.68,43848.07,under,1.7,no,no,yes,franchise_tax,A_discuss,Tennessee treats inventory as physical presence. Also has franchise & excise tax implications. | Entity tax: Tennessee franchise & excise tax may apply to entities doing business in TN. The,"inventory_events, sales_by_state, franchise_tax_flags, fba_nexus_posture.json"
TX,Texas,2024-01-01,2026-08-16,12245,carve_out,medium,"Tex. Tax Code § 151.0242; Texas Comptroller Rule 3.286. Marketplace facilitator provisions. However, franchise tax (Tex. Tax Code Ch. 171) still applies.",6283.28,143390.59,under,29.9,yes,no,yes,franchise_tax,D_entity_tax,Texas marketplace facilitator provisions may shield FBA-only sellers from SALES TAX registration. HOWEVER: Texas franchise tax applies independently — must file No Tax Due report + PIF annually if doing business in TX. Dual obligation. | Entity tax: IMPORTANT: Texas franchise tax applies to entities doing business in Texas. FBA ,"inventory_events, sales_by_state, franchise_tax_flags, fba_nexus_posture.json"
UT,Utah,2024-03-01,2026-08-16,2167,asserts,medium,Utah Code § 59-12-107(2); Utah State Tax Commission guidance.,1197.33,30137.0,under,2.3,no,no,no,,A_discuss,Utah treats inventory storage as physical presence creating nexus.,"inventory_events, sales_by_state, fba_nexus_posture.json"
VA,Virginia,2024-01-01,2026-08-16,3785,asserts,medium,Va. Code § 58.1-612; Virginia Tax marketplace facilitator guidance.,2441.6,41178.34,under,3.8,no,no,no,,A_discuss,Virginia treats inventory as physical presence. Marketplace sales do NOT count toward seller's economic threshold.,"inventory_events, sales_by_state, fba_nexus_posture.json"
VT,Vermont,,,0,unknown,low,"Vt. Stat. tit. 32, § 9701; Vermont Department of Taxes. No specific FBA guidance found.",354.57,2011.14,under,2.4,yes,no,no,,B_monitor,Vermont has no known Amazon FCs. FBA inventory nexus position unclear.,"sales_by_state, fba_nexus_posture.json"
WA,Washington,2024-01-01,2026-08-16,2901,asserts,high,Wash. Rev. Code § 82.04.067; Washington DOR Special Notice. Inventory = substantial nexus.,2226.23,46288.92,under,72.0,yes,no,yes,franchise_tax,A_discuss,Washington clearly asserts inventory creates nexus. Also has B&O tax on gross receipts — separate from sales tax. Dual obligation. | Entity tax: Washington B&O (Business & Occupation) tax applies to gross receipts from busine,"inventory_events, sales_by_state, franchise_tax_flags, fba_nexus_posture.json"
WI,Wisconsin,2024-01-01,2026-08-15,2252,asserts,medium,Wis. Stat. § 77.51(13g); Wisconsin DOR marketplace facilitator guidance.,2304.32,35410.29,under,52.3,yes,no,no,,A_discuss,Wisconsin treats inventory storage as physical presence.,"inventory_events, sales_by_state, fba_nexus_posture.json"
WV,West Virginia,,,0,unknown,low,W. Va. Code § 11-15A-1; West Virginia State Tax Dept. No specific FBA guidance found.,455.44,5862.26,exceeded,8.6,yes,yes,no,,B_monitor,West Virginia has no known Amazon FCs. Economic nexus may exist from sales volume. FBA inventory position unclear. | Already registered.,"sales_by_state, fba_nexus_posture.json"
WY,Wyoming,,,0,unknown,low,Wyo. Stat. § 39-15-101; Wyoming DOR. No specific FBA guidance found.,228.0,4081.17,under,0.4,no,no,no,,B_monitor,Wyoming has no known Amazon FCs. FBA inventory nexus position unclear.,"sales_by_state, fba_nexus_posture.json"
