id,rank,action,campaign,ad_group,term,match_type,clicks,spend,sales,term_cvr,account_cvr_lane,acos,current_bid,new_bid,placement,window,why
11,R1,negative_exact,SP - KW - Exact - Tallow Balm - B0CLF5B27Y - MAG,B0CLF5B27Y,beef tallow and honey balm,EXACT,24,42.37,0,0%,nonbrand ~26%,,,,,2026-07-06..09-04 ~60d ST,Bleeders 1.0.
12,R1,negative_exact,SP - Auto - Deodorant - B0CLHYY3BB -,B0CLHYY3BB,wild deodorant,TARGETING_EXPRESSION_PREDEFINED,35,31.18,0,0%,nonbrand ~26%,,,,,2026-07-06..09-04 ~60d ST,Close-match Auto $0.
13,R1,negative_exact,GG - Lip Balm - Exact - ChapStick related,Exact,best chapstick,EXACT,7,23.09,0,0%,nonbrand ~26%,,,,,2026-08-29..09-04 L7,"L7 P0 #6. Also 60d ACOS 201% with sales — do not harvest; after neg, consider pause_keyword best chapstick if it is the exact KW."
14,R1,negative_exact,GG - Lip Balm - Broad M,Broad,shea butter chapstick,BROAD,9,22.41,0,0%,nonbrand ~26%,,,,,2026-08-29..09-04 L7,L7 P0 #8.
15,R1,negative_exact,GG - Deodorant - Asin Offense 1,Asin Offense,carpe deodorant,TARGETING_EXPRESSION,20,20.6,0,0%,nonbrand ~26%,,,,,2026-08-29..09-04 L7,L7 P0 #10. Offense 1 only — Asin Defense carpe already applied Aug 20.
16,R2,bid_down,SP KW - Exact(PM) - Lip Balm - DPB0CLHTKY3V/B0CLHVLG2F -,SP | TBL - 3Pck | lip balm-keywords | Exact | NonBranded | SSG,organic lip balm,EXACT,891,1616.45,2804.51,22%,nonbrand ~26%,57.6%,,live CPC × 0.38 / 0.576,,2026-07-06..09-04 ~60d ST,Biggest ACOS hole with sales. NEVER pause. Bid down ~34% toward BE. Recheck 7d.
17,R2,bid_down,GG - Lip Balm - Asin Offense - Lip Balm Category,Asin Offense,B00EXPRM7C,TARGETING_EXPRESSION,445,726.24,1259.1,19.8%,nonbrand ~26%,57.7%,,live CPC × 0.38 / 0.577,,2026-07-06..09-04 ~60d ST,"Offense ASIN over BE. Bid down, do not harvest."
18,R2,bid_down,GG - Lip Balm - Asin Offense - Lip Balm Category,Asin Offense,B07XXPHQZK,TARGETING_EXPRESSION,470,662.66,1175.16,17.9%,nonbrand ~26%,56.4%,,live CPC × 0.38 / 0.564,,2026-07-06..09-04 ~60d ST,Same.
19,R2,bid_down,GG - Deodorant - Asin Offense 3,Asin Offense,B08WYXNVQ7,TARGETING_EXPRESSION,305,334.83,461.71,9.2%,nonbrand ~26%,72.5%,,live CPC × 0.38 / 0.725,,2026-07-06..09-04 ~60d ST,ACOS>55% AND CVR<17% = classic Bleeders 2.0. Bid down hard.
20,R2,bid_down,GG - Deodorant - Asin Offense 3,Asin Offense,B09YK5F5NC,TARGETING_EXPRESSION,314,420.04,701.56,13.7%,nonbrand ~26%,59.9%,,live CPC × 0.38 / 0.599,,2026-07-06..09-04 ~60d ST,Bleeders 2.0 filter.
21,R2,bid_down,SP - 1KW(900kSV/ROS-PP) - Exact - Lip Balm - B0CLHTKY3V - -lip balm organic,B0CLHTKY3V,lip balm organic,EXACT,102,292.21,335.76,23.5%,nonbrand ~26%,87.0%,,live CPC × 0.38 / 0.870,,2026-07-06..09-04 ~60d ST,87% ACOS Exact. Bid down; never pause organic/lip balm organic winners family.
22,R2,bid_down,GG - Lip Balm - Exact - Tallow Balm related KW - TOS,Exact,tallow and honey balm,EXACT,278,288.88,335.76,8.3%,nonbrand ~26%,86.0%,,live CPC × 0.38 / 0.860,,2026-07-06..09-04 ~60d ST,Low CVR + high ACOS Exact.
23,R2,bid_down,GG - Lip Balm - Exact - Untargeted,Exact,lip moisturizer for very dry lips,EXACT,102,187.53,195.86,13.7%,nonbrand ~26%,95.7%,,live CPC × 0.38 / 0.957,,2026-07-06..09-04 ~60d ST,Was a 24d $0; now converts at 96% ACOS — bid_down not pause.
24,R2,bid_down,GG - Lip Balm - Broad M,Broad,(campaign-level),BROAD,166,345.72,556.91,22.9%,nonbrand ~26%,62.1%,,lower default bid ~30% OR cut DP first,,2026-08-29..09-04 L7,L7 #1 worst campaign ACOS 62% on $346. Prefer DP cut + negatives first; then lower Broad default bid.
25,R2,bid_down,SP | TBL - 3Pck | B0CLHTKY3V |  Auto | Loose Match-TOS | SSG,SP | TBL - 3Pck | B0CLHTKY3V |  Auto | Loose Match | SSG,loose-match,TARGETING_EXPRESSION_PREDEFINED,388,735.11,1456.29,25.8%,nonbrand ~26%,50.5%,,live CPC × 0.38 / 0.505,,2026-08-29..09-04 L7,Largest L7 spend campaign at 50.5% ACOS + huge zero-order tail. Bid down Loose Match; keep harvesting winners out.
26,P1,cut_detail_page,SP - Auto - AUD (High-Interest) - Catch All - Mixed -,-,-,-,83,72.6,13.99,1.2%,nonbrand ~26%,518.9%,,,Detail Page → 0% or −100%,2026-08-06..09-04 ~30d placement,DP ACOS 519%. Cut product-pages modifier only.
27,P1,cut_detail_page,SP - 1KW(900kSV/ROS-PP) - Exact - Lip Balm - B0CLHTKY3V - -lip balm organic,-,-,-,15,45.28,27.98,13.3%,nonbrand ~26%,161.8%,,,Detail Page → 0% or −100%,2026-08-06..09-04 ~30d placement,DP 162% ACOS.
28,P1,cut_detail_page,GG - Lip Balm - Broad M,-,-,-,34,35.59,27.98,5.9%,nonbrand ~26%,127.2%,,,Detail Page → 0% or −100%,2026-08-06..09-04 ~30d placement,DP 127% on Broad M.
29,P1,cut_detail_page,Catch All - Added To Cart - AMC - TOS,-,-,-,50,38.01,27.98,4.0%,nonbrand ~26%,135.8%,,,Detail Page → 0% or −100%,2026-08-06..09-04 ~30d placement,Also check Catch Alll typo twin campaign.
30,P1,cut_detail_page,SP - ASIN - COMP - Exact - Tallow Deodorant - B0CLHYY3BB -,-,-,-,32,55.35,47.97,9.4%,nonbrand ~26%,115.4%,,,Detail Page → 0% or −100%,2026-08-06..09-04 ~30d placement,DP 115%.
31,P1,cut_detail_page,SP - KW (TOS) - Exact - Tallow Lip Balm KW,-,-,-,162,263.55,438.69,19.8%,nonbrand ~26%,60.1%,,,Detail Page → reduce (do not touch TOS),2026-08-06..09-04 ~30d placement,Biggest DP $ on a core Exact campaign. Trim DP only; TOS on this campaign is the cash engine (60d tallow lip balm ~34% ACOS).
32,HOLD,hold_tos,SP - Hero KW(256KsV/TOS) -  Exact - Lip Balm - 3 Pack - B0CLHTKY3V/B0CLHV3V5C - -chapstick,-,-,-,95,259.64,487.66,33.7%,nonbrand ~26%,53.2%,,,Top of Search — DO NOT RAISE,2026-08-29..09-04 L7,L7 Hero Exact still 53% ACOS. No TOS raise. Optional small bid_down on chapstick Exact only after P0/P1.
33,SCALE,bid_up,SP - Exact - Lip Balm - B0CLHTKY3V - chap stick,B0CLHTKY3V,chap stick,EXACT,268,450.93,1734.76,46.3%,nonbrand ~26%,26.0%,,+15% (only after P0–P1 done),,2026-07-06..09-04 ~60d ST,"Well under BE, high CVR. Scale AFTER waste cuts. Rank gate may cap — check organic."
34,SCALE,bid_up,GG - Lip Balm - Exact - SQR - Long/Low,Exact,peppermint chapstick,EXACT,92,203.25,813.45,54.3%,nonbrand ~26%,25.0%,,+15% after P0–P1,,2026-07-06..09-04 ~60d ST,25% ACOS Exact winner.
35,SCALE,bid_up,SP - KW (TOS) - Exact - Tallow Lip Balm KW,SP | TBL - 3Pck | B0CLHTKY3V | KT | EX | Non-Branded | KW Harvest 04-24-24| SSG,beef tallow for lips,EXACT,124,263.58,908.65,52.4%,nonbrand ~26%,29.0%,,+15% after P0–P1,,2026-07-06..09-04 ~60d ST,Under BE Exact. Do not raise TOS account-wide.
36,DEFEND,brand_defense,SP - 1Branded KW(TOS) - Exact - Lip Balm - Mixed - -28ord,B0CLHVCPL5,tallowbourne lip balm,EXACT,97,171.32,733.48,51.5%,branded ~41%,23.4%,,hold or +8% max,,2026-07-06..09-04 ~60d ST,Brand defense. Do not cut. Brief: brand only ~2% of ST spend — underspend not overspend.
37,GROW,harvest_exact,SP | TBL - 3Pck | B0CLHTKY3V |  Auto | Loose Match-TOS | SSG,SOURCE: Auto Loose → DEST: Exact harvest AG (not Auto),beef tallow lip balm,EXACT (add),126,204.7,839.4,46.8%,nonbrand ~26%,24.4%,,start near live CPC on converting Exact peers,,2026-07-06..09-04 ~60d ST,"GNO harvest: Auto Loose winner under BE. Add Exact in harvest/exact AG, then Negative Exact in Auto Loose so you stop paying discovery CPC."
38,GROW,harvest_exact,SP | TBL - 3Pck | B0CLHTKY3V |  Auto | Loose Match-TOS | SSG,SOURCE: Auto Loose → DEST: Exact harvest AG,sky and sol lip jelly,EXACT (add),68,114.4,531.62,47.1%,nonbrand ~26%,21.5%,,start medium Exact bid,,2026-07-06..09-04 ~60d ST,Auto Loose converter 21.5% ACOS. Harvest Exact then neg from Auto.
39,GROW,harvest_exact,SP | TBL - 3Pck | B0CLHTKY3V |  Auto | Loose Match-TOS | SSG,SOURCE: Auto Loose → DEST: Exact harvest AG,non toxic lip balm,EXACT (add),61,111.29,360.75,41.0%,nonbrand ~26%,30.8%,,start medium Exact bid,,2026-07-06..09-04 ~60d ST,Under BE Auto winner. Harvest Exact.
40,GROW,harvest_exact,SP | TBL - 3Pck | B0CLHTKY3V |  Auto | Loose Match-TOS | SSG,SOURCE: Auto Loose → DEST: Exact harvest AG,all natural lip balm,EXACT (add),36,72.44,237.83,47.2%,nonbrand ~26%,30.5%,,start medium Exact bid,,2026-07-06..09-04 ~60d ST,Harvest Exact. Do NOT confuse with all natural chapstick (that is a $0 cut).
41,GROW,harvest_exact,SP 1KW(3kSV) - Broad(TOS/30%) - Lip Balm - B0CLHTKY3V - -organic chapstick,SOURCE: Broad → DEST: Exact AG for organic chapstick,organic chapstick,EXACT (add),104,163.16,489.65,33.7%,nonbrand ~26%,33.3%,,match peer Exact organic chapstick bid,,2026-07-06..09-04 ~60d ST,Broad converting under BE. Move to Exact; Neg Exact in Broad. You already have an Exact organic chapstick campaign — prefer bid_up there and Neg Exact this query out of Broad.
42,GROW,harvest_exact,SP - KW Phrase (PM) - Lip balm - B0CLHTKY3V/B0CLHVCPL5 - -DP,SOURCE: Phrase → DEST: Exact harvest,grass fed beef tallow lip balm,EXACT (add),22,42.55,269.3,45.5%,nonbrand ~26%,15.8%,,start medium Exact bid,,2026-07-06..09-04 ~60d ST,Phrase winner 15.8% ACOS. Harvest Exact then Neg Exact in Phrase.
43,GROW,harvest_exact,GG - Lip Balm - Broad M,SOURCE: Broad → DEST: Exact (chapstick / tallow lip balm owners),chapstick,EXACT (own in Hero Exact — Neg Exact here),57,74.64,419.7,52.6%,nonbrand ~26%,17.8%,,n/a — consolidate,,2026-07-06..09-04 ~60d ST,"Broad converts chapstick at 17.8% but Hero Exact already owns chapstick. Neg Exact chapstick out of Broad so Exact owns volume (growth via cheaper Exact CPC, not more Broad)."
44,GROW,harvest_exact,GG - B0CLHYY3BB - Deodorant - Asin Defense,DEST: Exact deodorant KW campaign (not Auto),beef tallow deodorant,EXACT (add),51,131.17,527.67,64.7%,nonbrand ~26%,24.9%,,start medium Exact bid,,2026-07-06..09-04 ~60d ST,Defense PT converting this query — harvest into Exact deodorant KW; keep defense ASIN running.
45,GROW,bid_up,SP - Exact - Lip Balm - B0CLHTKY3V - chap stick,B0CLHTKY3V,chap stick,EXACT,268,450.93,1734.76,46.3%,nonbrand ~26%,26.0%,,+15%,,2026-07-06..09-04 ~60d ST,L30 campaign 27.9% ACOS. Scale Exact winner. Do after A-block cuts same day is OK for under-BE Exact.
46,GROW,bid_up,GG - Lip Balm - Exact - SQR - Long/Low,Exact,peppermint chapstick,EXACT,92,203.25,813.45,54.3%,nonbrand ~26%,25.0%,,+15%,,2026-07-06..09-04 ~60d ST,25% ACOS Exact. Budget only $13 avg — pair with budget_up.
47,GROW,bid_up,SP - KW (TOS) - Exact - Tallow Lip Balm KW,Exact harvest AG,beef tallow for lips,EXACT,124,263.58,908.65,52.4%,nonbrand ~26%,29.0%,,+15%,,2026-07-06..09-04 ~60d ST,Under BE Exact on the cash campaign.
48,GROW,bid_up,SP - KW (TOS) - Exact - Tallow Lip Balm KW,Exact harvest AG,tallow chapstick,EXACT,554,1108.91,3242.63,40.1%,nonbrand ~26%,34.2%,,"+10% (under BE, not full +15)",,2026-07-06..09-04 ~60d ST,Core Exact under BE. Modest raise; rank gate may cap.
49,GROW,bid_up,SP - 1KW - Exact(TOS) - lip balm -B0CLHVCPL5 - tallow lip balm organic,Exact,tallow lip balm organic,EXACT,481,1163.17,3636.7,48.4%,nonbrand ~26%,32.0%,,+15%,,2026-07-06..09-04 ~60d ST,30.7% L30 campaign ACOS. Scale + budget.
50,GROW,bid_up,SP - 1KW - Exact - Lip Balm - B0CLHTKY3V - organic chapstick,B0CLHTKY3V,organic chapstick,EXACT,139,304.79,912.35,46.8%,nonbrand ~26%,33.4%,,+15%,,2026-07-06..09-04 ~60d ST,Exact already owns this — raise here; harvest row above cleans Broad.
51,GROW,bid_up,SP - 1Branded KW(TOS) - Exact - Lip Balm - Mixed - -28ord,B0CLHVCPL5,tallowbourne lip balm,EXACT,97,171.32,733.48,51.5%,branded ~41%,23.4%,,+8% max (brand gate),,2026-07-06..09-04 ~60d ST,Brand defense/growth. Brief brand spend ~2% — raise gently.
52,GROW,raise_tos,SP - KW (TOS) - Exact - Tallow Lip Balm KW,-,-,-,,1052.45,3345.54,51.4%,nonbrand ~26%,31.5%,,,Top of Search +10 to +20 pts (after DP cut on same campaign),2026-08-06..09-04 ~30d,TOS 31.5% ACOS / 51% CVR. Raise TOS ONLY after you cut this campaign’s Detail Page (60% DP ACOS). Do not raise Hero Exact chapstick TOS.
53,GROW,raise_tos,GG - B0CLHYY3BB - Deodorant - Asin Defense,-,-,-,,289.07,1030.38,37.3%,nonbrand ~26%,28.1%,,,Top of Search +15 to +25 pts,2026-08-06..09-04 ~30d,TOS 28% ACOS. Defense + growth. Pair with budget_up.
54,GROW,raise_tos,SP - 1KW - Exact(TOS) - lip balm -B0CLHVCPL5 - tallow lip balm organic,-,-,-,,175.5,558.9,56.3%,nonbrand ~26%,31.4%,,,Top of Search +15 pts,2026-08-06..09-04 ~30d,TOS healthy; DP already fine. Scale impression share.
55,GROW,raise_tos,SP - KW(4kSV/TOS) - Exact - Lip Balm - 3 Pack - B0CLHTKY3V - -tallow lip balm,-,-,-,,169.31,544.91,52.8%,nonbrand ~26%,31.1%,,,Top of Search +10 to +15 pts,2026-08-06..09-04 ~30d,TOS 31% ACOS twin Exact. Grow.
56,GROW,budget_up,GG - B0CLHYY3BB - Deodorant - Asin Defense,-,-,-,,326.47,1112.33,34.7%,nonbrand ~26%,29.4%,budget ~$28/day,+$10–15/day (~$40–45),,2026-08-06..09-04 ~30d,Best L7 efficient campaign (24.7% ACOS). Budget is tiny vs performance — raise so it can spend.
57,GROW,budget_up,SP - 1KW - Exact(TOS) - lip balm -B0CLHVCPL5 - tallow lip balm organic,-,-,-,,197.4,642.84,53.2%,nonbrand ~26%,30.7%,budget ~$18/day,+$10–15/day (~$30–35),,2026-08-06..09-04 ~30d,Under BE Exact with tiny budget — growth bottleneck.
58,GROW,budget_up,SP - Exact - Lip Balm - B0CLHTKY3V - chap stick,-,-,-,,109.38,391.72,43.8%,nonbrand ~26%,27.9%,budget ~$38/day,+$10/day (~$48),,2026-08-06..09-04 ~30d,27.9% ACOS Exact. Give it room after bid_up.
59,GROW,budget_up,GG - Lip Balm - Exact - SQR - Long/Low,-,-,-,,106.87,332.77,33.3%,nonbrand ~26%,32.1%,budget ~$13/day,+$10–15/day (~$25–30),,2026-08-06..09-04 ~30d,Peppermint Exact winner starved at $13.
60,GROW,budget_up,SP - KW(4kSV/TOS) - Exact - Lip Balm - 3 Pack - B0CLHTKY3V - -tallow lip balm,-,-,-,,173.35,544.91,50.0%,nonbrand ~26%,31.8%,budget ~$68/day,+$15–20/day (~$85–90),,2026-08-06..09-04 ~30d,Under BE Exact twin. Modest budget raise.
61,GROW,budget_up,SP - KW (TOS) - Exact - Tallow Lip Balm KW,-,-,-,,1475.75,4360.12,43.7%,nonbrand ~26%,33.8%,budget ~$153/day,+$20–30/day ONLY after DP cut + if daily ACOS stays ≤38%,,2026-08-06..09-04 ~30d,Largest profitable Exact engine L30. L7 days mixed — raise budget only after DP cut and a clean 2–3 day ACOS read. Do NOT raise Hero Exact chapstick budget (L7 53% ACOS).
62,GROW,budget_up,SBPC  - KW - Exact(TOS) - Lip Balm - Mixed -,-,-,-,,396.89,1359.03,44.3%,nonbrand ~26%,29.2%,check live SB budget,+20% if not already maxed,,2026-08-06..09-04 ~30d,SB Exact 29% ACOS L30 — grow SB where efficient (no ST table; campaign-grain only).
63,R2,bid_down,SP - Hero KW(256KsV/TOS) -  Exact - Lip Balm - 3 Pack - B0CLHTKY3V/B0CLHV3V5C - -chapstick,Exact / 3pk,chapstick,EXACT,631,1679.32,3725.35,40.9%,nonbrand ~26%,45.1%,,live CPC × 0.38 / 0.451 (~−16%),,2026-08-29..09-04 L7 ST (5/7 days — rank only),Dana L7 ST head: chapstick ~45% ACOS (just over BE). Surgery not pause. Bid down on Hero Exact owner; Neg Exact chapstick out of Broad/Auto (already in GROW). ST $ inflated — confirm live CPC in CM.
64,HOLD,hold_bid,SP - KW (TOS) - Exact - Tallow Lip Balm KW,Exact,tallow lip balm,EXACT,618,1478.06,3273.87,37.1%,nonbrand ~26%,45.2%,,DO NOT CHANGE — rank defense,,2026-08-29..09-04 L7 ST (5/7 days — rank only),Dave 2026-09-05 KEEP tallow lip balm rank defense; skip bid_down; still do DP cut + raise_tos + budget_up on campaign family; do not pause.
65,R2,bid_down,SP KW - Exact(PM) - Lip Balm - DPB0CLHTKY3V/B0CLHVLG2F -,Exact NonBranded,beef tallow lip balm,EXACT,272,655.68,1030.27,26.1%,nonbrand ~26%,63.6%,,live CPC × 0.38 / 0.636,,2026-08-29..09-04 L7 ST (5/7 days — rank only),L7 ST 63.6% ACOS across campaigns. Bid down Exact(PM) where spend concentrates. Still HARVEST Exact from Auto Loose (24% ACOS there) — different lever.
66,R2,bid_down,GG - B0CLHYY3BB - Deodorant - Asin Defense,Asin Defense,tallow deodorant,TARGETING_EXPRESSION,77,261.02,272.83,15.6%,nonbrand ~26%,95.7%,,live CPC × 0.38 / 0.957,,2026-08-29..09-04 L7 ST (5/7 days — rank only),L7 ST 95.7% ACOS. Bid down defense targeting for this query; do not kill brand defense campaign. Harvest beef tallow deodorant to Exact stays.
